L 01/06/2021 - 00:28:47: Log file started (file "cstrike/addons/amxmodx/logs/CVARmenu.log") (game "cstrike") (amx "1.9.0.5271")
L 01/10/2021 - 18:56:32: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_timeout = 999 .
L 01/10/2021 - 19:04:01: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_timelimit = 0 .
L 01/10/2021 - 19:29:21: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 35 .
L 01/10/2021 - 19:29:22: [OFFICIAL] ADMIN Osiris seteaza cvar mp_timelimit = 0 .
L 01/10/2021 - 19:29:22: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 25 .
L 01/10/2021 - 19:29:26: [OFFICIAL] ADMIN Osiris seteaza cvar mp_timelimit = 35 .
L 01/10/2021 - 19:32:20: [OFFICIAL] ADMIN Osiris seteaza cvar mp_timelimit = 0 .
L 01/10/2021 - 19:32:24: [OFFICIAL] ADMIN Osiris seteaza cvar mp_timelimit = 25 .
L 01/10/2021 - 20:17:41: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 35 .
L 01/10/2021 - 20:17:42: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 0 .
L 01/10/2021 - 20:39:50: [OFFICIAL] ADMIN Osiris seteaza cvar mp_timelimit = 35 .
L 01/10/2021 - 21:17:45: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 35 .
L 01/10/2021 - 21:40:52: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 35 .
L 01/10/2021 - 22:10:24: [OFFICIAL] ADMIN DaN'EllA seteaza cvar sv_unlag = 0 .
L 01/10/2021 - 22:10:25: [OFFICIAL] ADMIN DaN'EllA seteaza cvar sv_unlag = 1 .
L 01/10/2021 - 22:10:26: [OFFICIAL] ADMIN DaN'EllA seteaza cvar sv_maxunlag = 0.1 .
L 01/10/2021 - 22:10:26: [OFFICIAL] ADMIN DaN'EllA seteaza cvar sv_maxunlag = 0.5 .
